Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            439.2 µs      │ 569.9 µs      │ 447.6 µs      │ 462.3 µs      │ 10      │ 10
│  │                             384         │ 384           │ 384           │ 384           │         │
│  │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
│  ├─ scalar_first_ordered     50.67 ms      │ 53.37 ms      │ 51.1 ms       │ 51.34 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             21          │ 21            │ 21            │ 21            │         │
│  │                             34.99 KB    │ 34.99 KB      │ 34.99 KB      │ 34.99 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.039 MB    │ 3.039 MB      │ 3.039 MB      │ 3.039 MB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.202 MB    │ 3.202 MB      │ 3.202 MB      │ 3.202 MB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             621         │ 621           │ 621           │ 621           │         │
│  │                             162.6 KB    │ 162.6 KB      │ 162.6 KB      │ 162.6 KB      │         │
│  ├─ scalar_sum_equality      34.64 ms      │ 36.18 ms      │ 35.2 ms       │ 35.31 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ╰─ scalar_sum_inequality    38.22 ms      │ 40.1 ms       │ 39.03 ms      │ 38.97 ms      │ 10      │ 10
│                              max alloc:    │               │               │               │         │
│                                1           │ 1             │ 1             │ 1             │         │
│                                1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│                              alloc:        │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│                              dealloc:      │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
╰─ forced                                    │               │               │               │         │
   ├─ anti_or_nulls            408.9 µs      │ 461.4 µs      │ 435.3 µs      │ 433.4 µs      │ 10      │ 10
   ├─ derived_limit            5.944 ms      │ 6.649 ms      │ 6.157 ms      │ 6.229 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             57          │ 57            │ 57            │ 57            │         │
   │                             35.06 KB    │ 35.06 KB      │ 35.19 KB      │ 35.1 KB       │         │
   │                           alloc:        │               │               │               │         │
   │                             346         │ 346           │ 346.5         │ 346.2         │         │
   │                             79.73 KB    │ 79.73 KB      │ 80 KB         │ 79.81 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             341         │ 341           │ 341.5         │ 341.2         │         │
   │                             76.44 KB    │ 76.44 KB      │ 76.58 KB      │ 76.48 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             16          │ 16            │ 16            │ 16            │         │
   │                             1.151 KB    │ 1.151 KB      │ 1.151 KB      │ 1.151 KB      │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_distinct_16       6.206 ms      │ 8.046 ms      │ 6.758 ms      │ 6.81 ms       │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             301         │ 300           │ 300           │ 300.2         │         │
   │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             296         │ 295           │ 295           │ 295.2         │         │
   │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_distinct_256      5.679 ms      │ 6.313 ms      │ 5.779 ms      │ 5.85 ms       │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.9 KB     │ 13.77 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             301         │ 301           │ 300           │ 300.2         │         │
   │                             39.19 KB    │ 38.93 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             296         │ 296           │ 295           │ 295.2         │         │
   │                             34.56 KB    │ 34.42 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_high_selectivity  6.005 ms      │ 6.61 ms       │ 6.252 ms      │ 6.259 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             301         │ 300           │ 300           │ 300.2         │         │
   │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             296         │ 295           │ 295           │ 295.2         │         │
   │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_indexed           5.787 ms      │ 6.327 ms      │ 5.878 ms      │ 5.923 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.77 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             301         │ 300           │ 300.5         │ 300.2         │         │
   │                             38.93 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             296         │ 295           │ 295.5         │ 295.2         │         │
   │                             34.42 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_low_selectivity   5.506 ms      │ 5.983 ms      │ 5.565 ms      │ 5.615 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.77 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 301           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.93 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 296           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.42 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_nulls             5.47 ms       │ 5.818 ms      │ 5.664 ms      │ 5.664 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_outer_16          5.188 ms      │ 5.713 ms      │ 5.34 ms       │ 5.365 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.77 KB      │ 13.77 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 301           │ 300.5         │ 300.2         │         │
   │                             38.66 KB    │ 38.93 KB      │ 38.93 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 296           │ 295.5         │ 295.2         │         │
   │                             34.28 KB    │ 34.42 KB      │ 34.42 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_outer_256         5.645 ms      │ 5.954 ms      │ 5.871 ms      │ 5.829 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300.5         │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295.5         │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_outer_1024        7.387 ms      │ 7.915 ms      │ 7.753 ms      │ 7.691 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300.5         │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295.5         │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ exists_skewed            6.04 ms       │ 6.75 ms       │ 6.322 ms      │ 6.333 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             33          │ 33            │ 33            │ 33            │         │
   │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 300           │ 300           │ 300.2         │         │
   │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 295           │ 295           │ 295.2         │         │
   │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ inequality               5.747 ms      │ 5.956 ms      │ 5.906 ms      │ 5.895 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             32          │ 32            │ 32            │ 32            │         │
   │                             12.4 KB     │ 12.4 KB       │ 12.54 KB      │ 12.44 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             299         │ 299           │ 299.5         │ 299.2         │         │
   │                             37.43 KB    │ 37.43 KB      │ 37.69 KB      │ 37.51 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             294         │ 294           │ 294.5         │ 294.2         │         │
   │                             33.05 KB    │ 33.05 KB      │ 33.19 KB      │ 33.09 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ inequality_indexed       5.475 ms      │ 6.57 ms       │ 5.894 ms      │ 5.947 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             32          │ 32            │ 32            │ 32            │         │
   │                             12.54 KB    │ 12.4 KB       │ 12.4 KB       │ 12.44 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             300         │ 299           │ 299           │ 299.2         │         │
   │                             37.7 KB     │ 37.43 KB      │ 37.43 KB      │ 37.51 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             295         │ 294           │ 294           │ 294.2         │         │
   │                             33.19 KB    │ 33.05 KB      │ 33.05 KB      │ 33.09 KB      │         │
   │                           grow:         │               │               │               │         │
   │                             7           │ 7             │ 7             │ 7             │         │
   │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
   │                           shrink:       │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
   ├─ nested_depth_2           29.87 ms      │ 30.79 ms      │ 30.15 ms      │ 30.2 ms       │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             298         │ 298           │ 298           │ 298           │         │
   │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             298         │ 298           │ 298           │ 298           │         │
   │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
   ├─ nested_depth_4           29.71 ms      │ 30.84 ms      │ 30.25 ms      │ 30.27 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             384         │ 384           │ 384           │ 384           │         │
   │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             384         │ 384           │ 384           │ 384           │         │
   │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
   ├─ scalar_first_ordered     50.11 ms      │ 56.1 ms       │ 51.3 ms       │ 52.09 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             21          │ 21            │ 21            │ 21            │         │
   │                             34.99 KB    │ 34.99 KB      │ 34.99 KB      │ 34.99 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             3436        │ 3436          │ 3436          │ 3436          │         │
   │                             3.039 MB    │ 3.039 MB      │ 3.039 MB      │ 3.039 MB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             3436        │ 3436          │ 3436          │ 3436          │         │
   │                             3.202 MB    │ 3.202 MB      │ 3.202 MB      │ 3.202 MB      │         │
   │                           grow:         │               │               │               │         │
   │                             621         │ 621           │ 621           │ 621           │         │
   │                             162.6 KB    │ 162.6 KB      │ 162.6 KB      │ 162.6 KB      │         │
   ├─ scalar_sum_equality      34.61 ms      │ 35.73 ms      │ 35.58 ms      │ 35.49 ms      │ 10      │ 10
   │                           max alloc:    │               │               │               │         │
   │                             1           │ 1             │ 1             │ 1             │         │
   │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
   │                           alloc:        │               │               │               │         │
   │                             255         │ 255           │ 255           │ 255           │         │
   │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
   │                           dealloc:      │               │               │               │         │
   │                             255         │ 255           │ 255           │ 255           │         │
   │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
   ╰─ scalar_sum_inequality    38.76 ms      │ 41.04 ms      │ 39.54 ms      │ 39.69 ms      │ 10      │ 10
                               max alloc:    │               │               │               │         │
                                 1           │ 1             │ 1             │ 1             │         │
                                 1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
                               alloc:        │               │               │               │         │
                                 255         │ 255           │ 255           │ 255           │         │
                                 375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
                               dealloc:      │               │               │               │         │
                                 255         │ 255           │ 255           │ 255           │         │
                                 375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │

